time,open,high,low,close,Volume,Futures Open Interest,Crypto Open Interest (열기),Crypto Open Interest (고가,Crypto Open Interest (저가),Crypto Open Interest (닫기),Funding Rate
1762465500,100954.9,101175.7,100720.1,101071.8,1110.255,,82361.096,82361.096,82131.015,82131.015,0.006823999999999999
1762466400,101071.8,101346.5,100950.7,100950.8,779.824,,82128.563,82128.563,82028.311,82028.311,0.006659
1762467300,100950.8,101278.9,100950.7,101092.9,601.771,,82033.76,82062.349,82001.264,82060.83,0.006289
1762468200,101092.9,101246.3,101025.3,101167.6,618.516,,82059.679,82159.883,82048.549,82159.883,0.005931
1762469100,101167.5,101447.5,101076.7,101364.2,552.69,,82160.598,82178.732,82160.476,82173.605,0.0059830000000000005
1762470000,101364.1,101422.8,101115.8,101357.6,813.828,,82175.146,82196.766,82168.803,82177.427,0.005524
1762470900,101357.6,101507.3,101076.3,101313.8,1285.943,,82178.731,82231.697,82087.476,82172.249,0.004974
1762471800,101313.8,101346.2,101096.4,101196.1,797.734,,82175.655,82253.8,82142.711,82253.8,0.0046749999999999995
1762472700,101196.1,101355,101196.1,101305.6,353.598,,82252.931,82296.405,82252.931,82288.247,0.004712
1762473600,101305.6,101596.3,101154.1,101293.7,1209.855,,82288.233,82311.655,82275.401,82311.367,0.004606000000000001
1762474500,101293.8,101455.2,100700.1,100890.9,2257.552,,82310.499,82625.207,82241.794,82572.056,0.0045460000000000006
1762475400,100891,101415,100736.5,101342.7,1369.811,,82572.069,82636.746,82562.803,82634.792,0.0051589999999999995
1762476300,101342.7,101592.1,101254,101434.5,1450.389,,82631.576,82743.032,82628.576,82678.067,0.0055899999999999995
1762477200,101434.6,101534.2,101000,101277.2,1145.696,,82630.607,82655.699,82615.872,82615.872,0.0056159999999999995
1762478100,101277.1,101846.5,101157.6,101639.7,1938.233,,82616.176,82658.84,82562.174,82648.456,0.0062050000000000004
1762479000,101639.7,101639.7,100835.4,101035.2,1749.496,,82649.706,82725.365,82622.841,82701.466,0.0060739999999999995
1762479900,101035.2,101543.1,100913.1,101501.3,1193.808,,82702.624,82702.624,82600.962,82616.903,0.0063289999999999996
1762480800,101501.3,101600,101368.3,101529.5,1088.86,,82612.123,82795.916,82598.685,82795.916,0.006737999999999999
1762481700,101529.6,101676.8,101200,101200.1,776.878,,82797.993,82831.193,82779.599,82827.889,0.007051999999999999
1762482600,101200,101571,101200,101513.2,647.055,,82825.594,82841.901,82787.69,82788.734,0.007407
1762483500,101513.2,101890,101495.4,101863.8,1106.272,,82791.399,82854.281,82791.399,82838.968,0.008038
1762484400,101863.8,102311,101837.5,102286.6,1808.826,,82842.94,82919.665,82842.94,82919.665,0.008187999999999999
1762485300,102286.7,102292.3,102060.1,102233.7,965.891,,82938.368,83032.1,82938.319,83027.625,0.007938
1762486200,102233.7,102233.7,102040,102089,721.391,,83025.367,83051.504,82998.344,82998.344,0.00776
1762487100,102089.1,102089.1,101810,101863.5,787.518,,82999.658,82999.658,82846.131,82846.131,0.007541
1762488000,101863.4,101932.6,101530,101530,1260.216,,82840.194,82840.194,82769.579,82772.523,0.007220000000000001
1762488900,101530.1,102022.4,101530.1,101943.1,831.484,,82768.111,82768.111,82741.071,82759.236,0.007219
1762489800,101943,101943.1,101663.1,101775,538.352,,82759.766,82797.767,82749.308,82781.095,0.006658000000000001
1762490700,101775,102027.7,101724.2,101974.1,707.102,,82780.738,82812.005,82728.657,82728.657,0.0065580000000000005
1762491600,101974,102480.4,101965.7,102377.8,1791.229,,82723.098,82733.454,82607.717,82627.884,0.006372000000000001
1762492500,102377.8,102429.7,102200,102354.7,896.679,,82632.252,82637.449,82537.941,82546.925,0.006095
1762493400,102354.8,102354.8,102220.4,102257.5,946.353,,82547.907,82584.002,82511.152,82524.822,0.00562
1762494300,102257.4,102442.5,102212.1,102400,860.008,,82529.026,82555.833,82469.637,82480.134,0.005164
1762495200,102400,102450,102223.7,102268.6,705.26,,82483.18,82483.18,82389.386,82398.579,0.004609
1762496100,102268.6,102433.9,102187.5,102197.3,505.736,,82398.267,82419.88,82377.584,82387.898,0.004068
1762497000,102197.3,102197.4,102010,102037.9,534.41,,82386.519,82388.966,82358.367,82380.784,0.003778
